Australia Australian Capital Territory,January 22 2020,0
Australia Australian Capital Territory,January 23 2020,0
Australia Australian Capital Territory,January 24 2020,0
Australia Australian Capital Territory,January 25 2020,0
Australia Australian Capital Territory,January 26 2020,0
Australia Australian Capital Territory,January 27 2020,0
Australia Australian Capital Territory,January 28 2020,0
Australia Australian Capital Territory,January 29 2020,0
Australia Australian Capital Territory,January 30 2020,0
Australia Australian Capital Territory,January 31 2020,0
Australia Australian Capital Territory,February 1 2020,0
Australia Australian Capital Territory,February 2 2020,0
Australia Australian Capital Territory,February 3 2020,0
Australia Australian Capital Territory,February 4 2020,0
Australia Australian Capital Territory,February 5 2020,0
Australia Australian Capital Territory,February 6 2020,0
Australia Australian Capital Territory,February 7 2020,0
Australia Australian Capital Territory,February 8 2020,0
Australia Australian Capital Territory,February 9 2020,0
Australia Australian Capital Territory,February 10 2020,0
Australia Australian Capital Territory,February 11 2020,0
Australia Australian Capital Territory,February 12 2020,0
Australia Australian Capital Territory,February 13 2020,0
Australia Australian Capital Territory,February 14 2020,0
Australia Australian Capital Territory,February 15 2020,0
Australia Australian Capital Territory,February 16 2020,0
Australia Australian Capital Territory,February 17 2020,0
Australia Australian Capital Territory,February 18 2020,0
Australia Australian Capital Territory,February 19 2020,0
Australia Australian Capital Territory,February 20 2020,0
Australia Australian Capital Territory,February 21 2020,0
Australia Australian Capital Territory,February 22 2020,0
Australia Australian Capital Territory,February 23 2020,0
Australia Australian Capital Territory,February 24 2020,0
Australia Australian Capital Territory,February 25 2020,0
Australia Australian Capital Territory,February 26 2020,0
Australia Australian Capital Territory,February 27 2020,0
Australia Australian Capital Territory,February 28 2020,0
Australia Australian Capital Territory,February 29 2020,0
Australia Australian Capital Territory,March 1 2020,0
Australia Australian Capital Territory,March 2 2020,0
Australia Australian Capital Territory,March 3 2020,0
Australia Australian Capital Territory,March 4 2020,0
Australia Australian Capital Territory,March 5 2020,0
Australia Australian Capital Territory,March 6 2020,0
Australia Australian Capital Territory,March 7 2020,0
Australia Australian Capital Territory,March 8 2020,0
Australia Australian Capital Territory,March 9 2020,0
Australia Australian Capital Territory,March 10 2020,0
Australia Australian Capital Territory,March 11 2020,0
Australia Australian Capital Territory,March 12 2020,0
Australia Australian Capital Territory,March 13 2020,0
Australia Australian Capital Territory,March 14 2020,0
Australia Australian Capital Territory,March 15 2020,0
Australia Australian Capital Territory,March 16 2020,0
Australia Australian Capital Territory,March 17 2020,0
Australia Australian Capital Territory,March 18 2020,0
Australia Australian Capital Territory,March 19 2020,0
Australia Australian Capital Territory,March 20 2020,0
Australia Australian Capital Territory,March 21 2020,0
Australia Australian Capital Territory,March 22 2020,0
Australia Australian Capital Territory,March 23 2020,0
Australia Australian Capital Territory,March 24 2020,0
Australia Australian Capital Territory,March 25 2020,0
Australia Australian Capital Territory,March 26 2020,0
Australia Australian Capital Territory,March 27 2020,0
Australia Australian Capital Territory,March 28 2020,0
Australia Australian Capital Territory,March 29 2020,0
Australia Australian Capital Territory,March 30 2020,1
Australia Australian Capital Territory,March 31 2020,1
Australia Australian Capital Territory,April 1 2020,1
Australia Australian Capital Territory,April 2 2020,1
Australia Australian Capital Territory,April 3 2020,1
Australia Australian Capital Territory,April 4 2020,2
Australia Australian Capital Territory,April 5 2020,2
Australia Australian Capital Territory,April 6 2020,2
Australia Australian Capital Territory,April 7 2020,2
Australia Australian Capital Territory,April 8 2020,2
Australia Australian Capital Territory,April 9 2020,2
Australia Australian Capital Territory,April 10 2020,2
Australia Australian Capital Territory,April 11 2020,2
Australia Australian Capital Territory,April 12 2020,2
Australia Australian Capital Territory,April 13 2020,2
Australia Australian Capital Territory,April 14 2020,2
Australia Australian Capital Territory,April 15 2020,3
Australia Australian Capital Territory,April 16 2020,3
Australia Australian Capital Territory,April 17 2020,3
Australia Australian Capital Territory,April 18 2020,3
Australia Australian Capital Territory,April 19 2020,3
Australia Australian Capital Territory,April 20 2020,3
Australia Australian Capital Territory,April 21 2020,3
Australia Australian Capital Territory,April 22 2020,3
Australia Australian Capital Territory,April 23 2020,3
Australia Australian Capital Territory,April 24 2020,3
Australia Australian Capital Territory,April 25 2020,3
Australia Australian Capital Territory,April 26 2020,3
Australia Australian Capital Territory,April 27 2020,3
Australia Australian Capital Territory,April 28 2020,3
Australia Australian Capital Territory,April 29 2020,3
Australia Australian Capital Territory,April 30 2020,3
Australia Australian Capital Territory,May 1 2020,3
Australia Australian Capital Territory,May 2 2020,3
Australia Australian Capital Territory,May 3 2020,3
Australia Australian Capital Territory,May 4 2020,3
Australia Australian Capital Territory,May 5 2020,3
Australia Australian Capital Territory,May 6 2020,3
Australia Australian Capital Territory,May 7 2020,3
Australia Australian Capital Territory,May 8 2020,3
Australia Australian Capital Territory,May 9 2020,3
Australia Australian Capital Territory,May 10 2020,3
Australia Australian Capital Territory,May 11 2020,3
Australia Australian Capital Territory,May 12 2020,3
Australia Australian Capital Territory,May 13 2020,3
Australia Australian Capital Territory,May 14 2020,3
Australia Australian Capital Territory,May 15 2020,3
Australia Australian Capital Territory,May 16 2020,3
Australia Australian Capital Territory,May 17 2020,3
Australia Australian Capital Territory,May 18 2020,3
Australia Australian Capital Territory,May 19 2020,3
Australia Australian Capital Territory,May 20 2020,3
Australia Australian Capital Territory,May 21 2020,3
Australia Australian Capital Territory,May 22 2020,3
Australia Australian Capital Territory,May 23 2020,3
Australia Australian Capital Territory,May 24 2020,3
Australia Australian Capital Territory,May 25 2020,3
Australia Australian Capital Territory,May 26 2020,3
Australia Australian Capital Territory,May 27 2020,3
Australia Australian Capital Territory,May 28 2020,3
Australia Australian Capital Territory,May 29 2020,3
Australia Australian Capital Territory,May 30 2020,3
Australia Australian Capital Territory,May 31 2020,3
Australia Australian Capital Territory,June 1 2020,3
Australia Australian Capital Territory,June 2 2020,3
Australia Australian Capital Territory,June 3 2020,3
Australia Australian Capital Territory,June 4 2020,3
